Zona;Provincia;Canton;Distrito;Circuito;Fecha Infracción;Hora Infracción;tipo_muert_matriz;Edad;Sexo;Estado Civil;Nacionalidad
ZONA 9;PICHINCHA;QUITO;QUITUMBE;QUITUMBE;13/04/2014;12:10;Homicidios;72;MASCULINO;CASADO;ECUADOR
ZONA 4;MANABI;PICHINCHA;PICHINCHA;BARRAGANETE;13/04/2014;11:00;Asesinatos;30;MASCULINO;UNION LIBRE;ECUADOR
ZONA 5;SANTA_ELENA;SALINAS;LIBERTAD SALINAS;SALINAS CENTRO;15/02/2014;20:50;Asesinatos;39;MASCULINO;SOLTERO;ECUADOR
ZONA 7;EL_ORO;MACHALA;MACHALA;PAEZ;16/03/2014;1:00;Asesinatos;32;MASCULINO;CASADO;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;TARQUI;10/01/2014;21:30;Asesinatos;29;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PASCUALES;ORQUIDEAS;15/01/2014;0:40;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 2;PICHINCHA;PEDRO_VICENTE_MALDONADO;NOROCCIDENTE;MALDONADO;08/02/2014;10:00;Asesinatos;14;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;ESTEROS;ESTEROS;05/03/2014;1:15;Asesinatos;33;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;PORTETE;20/01/2014;18:30;Asesinatos;36;MASCULINO;SOLTERO;ECUADOR
ZONA 4;MANABI;MANTA;MANTA;TARQUI;27/03/2014;21:15;Homicidios;27;MASCULINO;SOLTERO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;SUR;UNION DE BANANEROS;15/01/2014;;Asesinatos;26;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;CONTROL;07/04/2014;19:30;Asesinatos;41;MASCULINO;SOLTERO;ECUADOR
ZONA 2;NAPO;TENA;TENA;MISAHUALLI;04/08/2014;19:30;Homicidios;58;MASCULINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;MODELO;URDESA;21/01/2014;12:15;Asesinatos;51;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;VINCES;VINCES;BALZAR DE VINCES;11/01/2014;19:10;Asesinatos;34;MASCULINO;SOLTERO;ECUADOR
ZONA 1;IMBABURA;OTAVALO;VALLE DEL AMANECER;LA CASCADA;05/08/2014;9:30;Homicidios;37;FEMENINO;CASADO;ECUADOR
ZONA 8;GUAYAS;GUAYAQUIL;NUEVA PROSPERINA;NUEVO GUAYAQUIL;06/08/2014;21:20;Asesinatos;21;MASCULINO;SOLTERO;ECUADOR
ZONA 3;PASTAZA;ARAJUNO;ARAJUNO;ARAJUNO SELVA;04/04/2014;10:00;Asesinatos;28;MASCULINO;SOLTERO;ECUADOR
ZONA 5;LOS_RIOS;QUEVEDO;QUEVEDO;DIVINO NIÑO;05/01/2014;0:05;Asesinatos;19;MASCULINO;SOLTERO;ECUADOR
